stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,17.12,2.14,0,2.14,0,0,0,0,0,0,0,0,1.07,0,0,1.07,3.21,1.07,0,0,0,1.07,1.07,0,0
21Day,4.02,0,0,0,0,0,0,0,0,0,5.35,0,1.34,0,0,0,0,0,0,2.68,0,0,0,0,0
3Month,0,0,0,2.56,0,0,0,2.88,0,0.32,0.32,0.32,0,0,0.32,0.96,0,0,0.32,0,0.32,0,0,0.32,0
22Month,0,0.55,0.55,1.64,2.19,4.92,0.55,30.61,1.09,3.83,0,3.28,4.37,0.55,0,0,0,0,0,0,4.37,0,0,0.55,1.09
