stage,Endothelial_cell,Epithelial_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
24hpf,4.09,0,0,0,0,20.43,0
72hpf,0,0,1.07,0,2.14,2.14,0
21Day,0,1.34,0,1.34,0,0,1.34
