stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,61.3,8.17,0,0,0,0,0
72hpf,0,1.07,3.21,0,0,0,0,0,0,0,0,3.21,0,0,5.35,0,0,0,12.84,16.05,2.14,0,0,0,0,0
21Day,0,4.02,8.03,5.35,0,0,0,0,0,4.02,0,0,2.68,0,4.02,0,0,0,2.68,2.68,0,1.34,0,1.34,0,4.02
3Month,0,8.96,0,0.32,0,1.28,0,2.24,1.28,0.32,0.96,0,1.92,0.96,0.32,0,0.32,0.32,0,0,0,0.32,0.64,0,1.28,21.12
22Month,1.09,0.55,0,0,1.09,3.28,1.09,15.31,2.19,0,1.64,0,1.09,1.64,0.55,0.55,1.09,0,0,0,0,0,1.09,0,0,12.03
