stage,Epithelial_cell,Erythroid_progenitor_cell,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Radial_glia
72hpf,0,0,0,1.07,1.07,0,1.07,0
21Day,1.34,1.34,1.34,0,0,2.68,0,1.34
