stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,77.64,0,0,0,0,0,0,0,4.09,0,0,0,0,8.17,0,4.09,0,0,0,0,49.04,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,2.14,0,0,62.05,2.14,5.35,0,0,0,0,0,0,0,0,0,17.12,141.21,0,24.61,0,2.14,1.07,44.93,37.44,1.07,2.14,0,25.67,0,0,21.4,0,0,8.56,0,0,0
21Day,1.34,0,5.35,84.33,1.34,9.37,0,0,0,0,0,0,1.34,0,0,4.02,112.44,0,20.08,0,0,2.68,24.09,14.72,2.68,13.39,0,2.68,6.69,0,5.35,0,1.34,9.37,0,0,2.68
3Month,0,0.32,0.32,16.64,0,0,0,0.64,8.64,0.32,0,0,4.16,0.64,12.48,0.64,10.24,1.28,6.72,0.32,0,1.28,0,0,1.28,2.88,0,0,0.32,3.84,0,0,0,0,0.32,1.28,0.96
22Month,0,1.09,1.64,12.57,0,0,0.55,0,5.47,1.09,5.47,0,21.87,0.55,11.48,0,1.09,2.19,1.09,0,1.64,0.55,0,0,1.64,3.83,0.55,0,1.09,1.09,0,0.55,0,0,0,0,0.55
