stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.84,1.07,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,1.34,1.34,0,1.34,0,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,14.72,0,0,1.34,0,0,0,0,1.34,1.34,0,0
3Month,0,0.32,0.32,3.52,0,0,0,0,0,0,5.76,0.96,0,0.96,0.32,1.92,0,1.28,0.32,0,0.64,0,0,0.32,0.32,0,0,0.32,1.92,0,0,0.64,0.96
22Month,0.55,0,0,2.73,0,0.55,0,1.09,3.28,1.09,47.56,1.64,0.55,3.28,0,0.55,4.37,2.73,0,0.55,0.55,0,0,1.09,0.55,0.55,0.55,0.55,1.64,0,0,0,1.64
