stage,Erythrocyte,Hepatocyte,Intestinal.bulb.cell,Keratinocyte,Mesenchymal.cell,Muscle.cell,Neural.cell,Neural.progenitor.cell,Osteoblast,Primordial.germ.cell
24hpf,0,0,0,0,4.08640457285017,0,0,16.3456182914007,0,0
72hpf,1.06979114146608,0,0,0,1.06979114146608,0,4.27916456586431,0,1.06979114146608,0
21Day,1.33853308820331,0,0,2.67706617640661,1.33853308820331,1.33853308820331,2.67706617640661,1.33853308820331,0,0
22Month,0,0.546654651197433,0.546654651197433,0,1.6399639535923,0,0,0,0,0.546654651197433
