stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
24hpf,4.09,0,0,0,0,4.09,4.09
72hpf,0,1.07,1.07,1.07,0,0,1.07
21Day,0,2.68,0,0,4.02,0,0
