stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,0,0,4.09,44.95,0,0,0,0,0,0,0,0,0,0
72hpf,2.14,2.14,4.28,0,0,0,0,0,0,0,0,2.14,3.21,1.07,1.07,0,0,25.67,9.63,0,0,2.14,0,1.07,0,0,0,0,0
21Day,0,5.35,1.34,0,0,0,0,1.34,0,1.34,2.68,0,1.34,0,4.02,0,2.68,16.06,4.02,1.34,0,1.34,0,1.34,2.68,1.34,0,0,0
3Month,0,5.12,0,0.96,2.24,0,0,1.28,0.32,0,2.88,0.96,0.64,0.96,1.28,0.32,1.92,0.32,0,0,0.64,0,5.12,0,0,0,0.64,1.92,1.28
22Month,0,1.64,0,0,0,0.55,1.09,6.56,0,0,2.19,0,0.55,0,1.09,0,1.09,1.09,0,0.55,0,0,0,0,0,0,0,0,0
