stage,Epithelial_cell,Erythrocyte__Liver_,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,4.09
72hpf,0,0,0,0,0,0,0,1.07,0
3Month,0.32,0,0.32,0.32,0,0.32,0.32,1.6,0
22Month,0,0.55,1.64,0,0.55,0,0.55,0,0
