stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,4.09,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,53.49,4.28,2.14,0,0,0,0,0,5.35,0,0,0,0,0,0,21.4,0,0,0,54.56,75.96,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,0,0,5.35,0,0,0,0,0,12.05,0,0,0,0,0,1.34,0,2.68,0,1.34,0,1.34,2.68,0,0,1.34,0,0,0,1.34,0,0,0
3Month,1.6,1.28,0.96,336.91,0.32,0,2.88,0,0.96,2.88,12.8,17.28,2.24,0,7.36,3.52,3.52,3.84,3.52,0,2.56,2.24,1.28,0.96,3.52,0.32,0,0.96,7.04,0.96,0,0.96,4.8,3.84
22Month,0.55,0,0,47.01,0,0,0,4.37,0.55,1.09,42.09,10.93,0.55,0.55,2.73,0,0,1.64,1.64,1.64,0,0,0.55,1.09,0,0,0,0,2.19,0.55,0.55,0,0,2.73
