stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_progenitor_cell,Oocyte,Smooth_muscle_cell,T_cell
24hpf,4.09,0,0,0,0,0,0,0,0,4.09,4.09,0,0,16.35,0,0,0
22Month,0,2.19,1.09,2.19,2.19,20.23,1.09,1.09,0.55,0,4.92,0.55,0.55,0,126.28,0.55,1.09
