stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,0,8.17,0,0,0,0,0,0,8.17,0,0,0,0,0,32.69,0,8.17,0,0,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,14.98,1.07,0,0,0,0,1.07,0,0,0,0,0,5.35,34.23,1.07,3.21,0,2.14,0,2.14,2.14,5.35,1.07,0,1.07,1.07,0,0,1.07,0,0,0
21Day,2.68,0,1.34,48.19,1.34,8.03,0,2.68,0,1.34,0,1.34,0,0,12.05,4.02,18.74,2.68,4.02,0,0,0,0,4.02,1.34,0,0,1.34,1.34,0,1.34,0,0,0,1.34
3Month,0.32,1.92,4.16,55.99,0,0,1.6,0,18.56,7.68,0,109.1,6.08,0.64,82.55,6.08,12.48,7.04,4.16,1.28,0,2.88,2.24,0.64,0,3.2,0,0,2.56,7.36,0,0,0.96,3.2,8
22Month,0,2.19,6.56,21.32,0,0,0.55,0,19.13,9.29,0,137.76,0,0.55,144.32,1.64,4.92,3.28,4.37,0,1.09,1.09,0,0.55,2.19,0.55,0.55,0,0,15.31,0.55,0,0,0,0.55
