stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,314.65,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,16.35,0,0,0,0,0,0,0,0,0
72hpf,0,319.87,0,2.14,1.07,2.14,0,0,0,0,0,0,1.07,0,1.07,5.35,2.14,8.56,0,34.23,9.63,0,3.21,0,1.07,0,0,0,0,0
21Day,0,125.82,1.34,1.34,0,2.68,0,0,0,0,0,0,1.34,1.34,0,4.02,0,20.08,0,5.35,6.69,0,2.68,0,0,1.34,2.68,0,0,0
3Month,0,81.27,0.32,0,0,0,0,0.32,0.64,0,2.88,0.64,0,1.28,0.32,0,0,0.32,0.32,0,0.32,0,0,0.96,0,0,0,0.64,0.64,0
22Month,0,551.03,0,3.28,0,0,0,0,2.73,3.83,19.68,1.64,1.09,2.19,0,0,1.64,3.28,2.19,1.64,0,1.64,0,0,0,0,0,1.64,0,3.28
