stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,8.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.21,6.42,0,2.14,0,0,0,0,0,0,0
21Day,0,0,2.68,0,0,0,0,0,0,1.34,0,0,1.34,0,0,0,0,0,0,1.34,0,2.68,1.34,0,0,0,0,0,0
3Month,0.64,0.32,3.84,0,0.64,2.88,0,2.56,0.64,0,1.92,0.64,0.64,0.96,2.24,0,0,0.32,0,0,0.32,0.32,24.64,0.32,0,0.32,0.96,33.27,1.6
22Month,2.19,0,3.83,0.55,0.55,15.31,0.55,11.48,2.73,1.09,1.64,0,1.64,6.56,2.73,0.55,0.55,1.09,0,0,0.55,0,8.2,1.09,0.55,0,0.55,1.09,1.09
