stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,21.4,5.35,1.07,0,0,0,0,0,0,0,0,0,4.28,2.14,5.35,0,1.07,0,58.84,21.4,1.07,0,5.35,0,0,1.07,2.14,7.49,0,0,0
21Day,1.34,0,0,17.4,2.68,1.34,0,0,0,0,0,1.34,0,0,2.68,12.05,1.34,8.03,0,0,0,42.83,25.43,2.68,0,5.35,5.35,1.34,2.68,41.49,119.13,0,0,1.34
3Month,0,0,0,22.4,1.28,0,0.32,0.32,0,0.32,0,6.4,1.6,2.56,1.28,1.28,2.24,0.96,0.32,0.32,0,10.24,0.64,0.32,0,0,0.32,2.56,0,0.96,0,0,0.64,0.64
22Month,0.55,2.73,0.55,52.48,2.73,0,0,0,1.09,6.01,1.64,37.72,2.19,4.37,0,1.09,4.92,6.01,0,0,1.09,17.49,0.55,5.47,0.55,0,0,7.65,1.64,70.52,0,2.19,0,0
