stage,Endothelial_cell,Hepatocyte,Neural_cell,Neural_progenitor_cell,Spermatocyte
72hpf,0,0,2.14,1.07,0
3Month,0.32,1.28,0,0,0.32
22Month,0,1.64,0,0,0
