stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,4.09,0,0,0,0,0,0,0,453.59,12.26,0,0,0,0,0,0,0,28.6,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,55.63,3.21,0,0,0,0,0,0,4.28,1.07,0,0,2.14,0,1.07,0,0,0,0,0
21Day,0,0,1.34,5.35,0,0,0,0,1.34,0,50.86,0,1.34,5.35,0,0,0,0,2.68,0,0,0,0,1.34,1.34,0,0,0,0,1.34
3Month,0,0.32,10.24,0,0.96,3.2,6.4,3.84,0.32,4.8,305.87,3.2,1.6,5.12,1.28,0.64,1.28,1.28,0.32,0,0.32,0.32,0.64,1.6,45.75,1.28,0,3.2,8.64,3.84
22Month,0,0,2.19,0,0,3.83,4.92,0,0,0,54.12,0,0,0.55,0,0,0,0,0.55,0,0.55,0.55,0,2.19,36.63,0,0.55,0,0,0
