stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,7.49,1.07,7.49,0,0,0,0,0,0,0,0,0,0
21Day,0,0,1.34,0,0,0,1.34,12.05,0,4.02,111.1,4.02,0,0,2.68,0,1.34,4.02,0,1.34,0
3Month,0,0.96,2.56,0,4.16,1.28,3.2,12.16,0.32,0.64,104.62,0.32,0.32,0.32,0,0,0,0,0.32,0,0.32
22Month,0.55,0.55,0,0,2.73,0,1.64,10.93,0,0,2.19,0,0,0,0,0.55,0,0,0,0,0
