stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,20.43,28.6,0,0,0,0,0,147.11,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,5.35,0,9.63,1.07,0,0,0,0,0,0,0,0,0,3.21,16.05,4.28,56.7,0,0,1.07,0,5.35,13.91,0,20.33,0,0,2.14,0,4.28,0,0,0
21Day,6.69,2.68,0,29.45,5.35,0,1.34,0,4.02,0,0,2.68,10.71,2.68,1.34,8.03,34.8,78.97,0,0,6.69,0,10.71,2.68,0,30.79,5.35,0,2.68,2.68,1.34,0,0,8.03
3Month,0.32,1.28,0,14.4,0,0.32,0,0.32,21.44,0,4.16,16.96,0,2.88,0.32,9.6,16.64,8.96,1.6,0,0.64,0.64,0,0,0,0.64,0,2.24,0,0,0.32,2.88,0.64,10.24
22Month,0,2.73,2.19,9.84,0,0.55,0,0.55,14.21,3.28,48.65,11.48,1.09,6.56,0,2.73,19.68,9.84,0,1.64,0.55,0,0,0,0.55,0,1.09,1.09,0,0,0,0.55,0,2.73
