stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Neural_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,3.21,4.28,0,0
21Day,0,1.34,0,0,1.34,0,0,1.34,0,1.34,0,1.34
3Month,0,1.6,0.32,0.64,3.2,0.64,0.64,0,0.64,0.32,0.64,0
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0
