stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,0,20.43,0,0,0,0,0,0,0,0,0,4.09,0,16.35,0,8.17,61.3,0,0,0,4.09,40.86,351.43,0,0,0,12.26,0,0,0,0,0,0,0,0
72hpf,4.28,0,6.42,1.07,541.31,0,2.14,0,0,0,0,0,0,0,1.07,8.56,3.21,19.26,0,0,1.07,1.07,382.99,49.21,1.07,2.14,0,23.54,0,0,3.21,9.63,14.98,0,0,0
21Day,5.35,0,42.83,1.34,339.99,0,16.06,0,1.34,0,0,0,2.68,0,0,6.69,1.34,22.76,0,0,2.68,0,139.21,8.03,2.68,0,0,9.37,18.74,2.68,1.34,13.39,29.45,0,1.34,9.37
3Month,0,0.32,28.48,0.64,0,4.16,1.28,0,1.28,0,5.12,5.76,0.96,1.28,2.56,2.24,2.56,4.16,1.28,0,0.64,0.32,5.44,0,2.56,0.64,0,0.32,0.64,75.51,0.96,0,0,1.28,90.55,6.72
22Month,0,2.19,10.39,0.55,0,2.19,1.64,0.55,2.19,2.73,16.95,1.64,0.55,0.55,0.55,0,2.73,14.76,0.55,0.55,2.19,0,2.73,2.73,3.83,0.55,1.09,1.09,0,12.57,5.47,1.64,0,1.09,0,2.73
