stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Retinal_cone_cell,Spermatocyte
24hpf,0,0,4.09,49.04,0,0,0,0,4.09,0,0,0,16.35,0,0,0,0
72hpf,1.07,0,0,2.14,0,0,0,0,0,3.21,0,14.98,12.84,0,1.07,0,0
21Day,1.34,0,0,0,0,0,0,0,1.34,8.03,1.34,6.69,0,0,2.68,1.34,0
3Month,0,0.32,0,0,0,0.32,0,0.64,0,0,0,0,0,0,0,0,0.32
22Month,0,0,0,0,0.55,7.11,0.55,0,0,2.19,0,0,0,0.55,0,0,0
