stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte
24hpf,8.17,8.17,0,16.35,0,4.09,0,0,0,0,0,0,8.17,20.43,4.09,159.37,0,0,57.21,903.1,0,24.52,0,0,0,0,0,0
72hpf,6.42,3.21,0,6.42,2.14,1.07,0,0,0,0,0,0,6.42,9.63,1.07,32.09,2.14,0,42.79,149.77,1.07,13.91,1.07,0,3.21,0,1.07,0
21Day,12.05,1.34,0,8.03,0,5.35,2.68,0,0,0,2.68,0,1.34,4.02,1.34,34.8,0,1.34,6.69,36.14,2.68,9.37,1.34,0,6.69,1.34,0,0
3Month,0,0,0.32,0.32,0,0,0,0.32,0.32,0.32,0,0,0,1.28,0.32,0.32,0,0,0,0,0,0,0,6.4,0,0,0,0.96
22Month,0,0,0,0,0,0,0,0,0,3.83,0,0.55,0,0.55,0.55,1.09,0,0.55,0,0,0,0,0.55,0,0,0,0,0
