stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,0,25.43,0,0,0,1.34,0,0,0,0,0,4.02,0,2.68,0,14.72,0,5.35,0,0,0,0,0,0,0,0,0
3Month,0.32,0.96,0.64,45.43,0.32,0,0.32,1.28,5.44,1.6,0.32,2.88,1.6,3.2,1.28,2.88,0.32,298.51,0.32,0.64,0.64,0,0.96,3.2,0.32,0.32,0.96,0.96,1.6
22Month,0,2.73,0,26.79,0,0.55,1.09,1.09,7.65,0,1.64,2.19,0.55,1.09,0.55,1.09,0,171.1,0.55,0,0,1.64,0,5.47,0,0,0,0,0
