stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia,Retinal_pigment_epithelial_cell
24hpf,4.09,0,0,0,0,0,0,0,8.17,12.26,0,0,4.09,61.3,0,4.09,0,0
72hpf,0,2.14,5.35,1.07,0,0,2.14,2.14,1.07,9.63,3.21,1.07,18.19,32.09,1.07,6.42,6.42,1.07
21Day,2.68,0,8.03,0,0,0,0,1.34,0,8.03,0,1.34,0,6.69,0,0,0,0
3Month,0,0,0.64,0,0.32,0.32,0,0,0,0.32,0,0,0,0,0,0,0,0
22Month,0,0,0.55,0,1.09,0.55,0,0,0,0,0,0,0,0,0,0,0,0
