stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,20.43,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,49.04,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.42,0,0,0,1.07,0,0,0,0,0,0,0,0,0,1.07,1.07,0,3.21,0,0,314.52,13.91,2.14,7.49,0,4.28,0,0,2.14,4.28,0,0,0
21Day,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34,0,2.68,1.34,2.68,0,0,52.2,9.37,0,5.35,0,1.34,2.68,0,4.02,0,0,0,0
3Month,0,3.2,0.32,6.4,0,0.32,0.64,0.64,3.2,0.32,10.24,3.52,0,5.44,0.32,2.88,1.28,2.56,0,0.64,0.96,0,2.24,2.24,0,0,0.64,16.96,0,0,3.84,2.56,0.64
22Month,0.55,3.28,0.55,9.84,0,1.09,0.55,1.64,3.83,3.28,56.85,6.01,0.55,7.11,0,1.09,2.73,4.92,2.19,4.37,2.73,0,9.29,0,0.55,0,0.55,8.75,0.55,0,0,0,1.09
