stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,6.42,0,0,0,0,0,0,0,11.77,10.7,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0,9.37,0,4.02,0,0,2.68,1.34,0,21.42,14.72,0,0,0,0,1.34,0,0,0,0,1.34,0,0,0,0,0,0,0
3Month,0.32,0,7.04,0.32,16.64,0,5.76,6.72,0,3.52,1.28,5.12,0.32,0.64,0,0.32,0,0,0.32,0.32,0,0,0.96,3.2,0,0,0.64,0.96,1.92
22Month,0.55,0.55,7.11,0,13.67,1.09,32.25,2.19,0.55,3.83,0,6.01,1.09,0,0.55,0.55,0,0.55,0,0,2.19,0,0,0,0.55,0.55,0,0,1.09
