stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0
72hpf,0,5.35,344.47,0,3.21,0,0,0,0,0,0,0,1.07,0,5.35,0,124.1,5.35,0,2.14,0,1.07,2.14,28.88,13.91,0,0
21Day,1.34,1.34,465.81,0,127.16,0,0,0,0,1.34,2.68,0,5.35,1.34,5.35,0,17.4,2.68,0,1.34,5.35,0,0,9.37,41.49,0,1.34
3Month,0,4.48,0,6.4,1.6,0.32,0,1.6,0.32,0,0.32,0.32,0.32,0.32,0.32,0,0.32,0,0,0,0,2.56,0,0,0,0.32,0
22Month,0,1.64,0,3.83,1.64,0,1.09,3.83,1.09,0.55,0.55,0,0,0,0.55,0.55,0,0.55,0.55,0,0,2.73,0,8.2,0,0,0
