stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Immune_progenitor_cell,Ionocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,4.09,0,8.17,0,0,0,0,0,0
72hpf,2.14,3.21,1.07,0,1.07,1.07,47.07,7.49,0,0,2.14,0,0,0
21Day,0,2.68,0,1.34,1.34,8.03,18.74,8.03,1.34,1.34,4.02,2.68,2.68,2.68
