stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0,4.09,36.78,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,11.77,4.28,0,0,0,0,0,0
21Day,0,0,0,1.34,0,0,0,0,0,1.34,0,0,0,0,0,0,0,1.34,2.68,0,1.34,0,0,0,0
3Month,0,0,1.6,0,0.32,0.32,0.64,8,0.96,0,0.64,0,0.96,0,0.32,0,0.96,0.32,0,0,0,2.56,0.32,0.64,0.64
22Month,0.55,1.64,2.73,0,0.55,0,1.09,31.16,2.73,0,3.83,0.55,0,1.64,3.28,1.09,0.55,0,0,0.55,0,12.03,0,0,0
