stage,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,1.07,0,0,0,0,0,0,0,1.07,2.14,0,0,0,0,0,0,1.07,3.21,0,0,1.07,0,0,2.14,0,0,0,0
21Day,0,0,1.34,1.34,0,0,0,0,0,0,0,0,0,0,5.35,0,0,0,0,0,2.68,0,0,1.34,0,0,1.34,0,0,0,0
3Month,0.64,0.96,13.76,0.32,0,2.88,2.88,15.36,4.16,0.32,4.16,1.92,3.52,2.88,1.6,0.64,0.32,1.28,1.28,1.28,0,1.28,1.28,0,2.88,4.16,0.96,0.32,1.92,588.39,1.92
