stage,Cardiomyocyte,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,4.09,0,0,4.09,0,0,0,0,0
72hpf,0,0,0,0,0,0,1.07,0,1.07,0,0,1.07,0,0,0
21Day,0,1.34,0,0,1.34,0,0,0,0,0,0,0,0,0,1.34
3Month,0.32,1.28,0.32,0.96,0,0.64,0,0,0.64,0,0.96,0,1.28,0.96,0
22Month,0,0,0,1.09,0,0,0,1.09,0,0,0,0,0,0,0
