stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,20.43,0,4.09,0,0,0,0,0,0,0,4.09,16.35,118.51,0,0,0,0,8.17,645.65,0,0,8.17,0,0,0,0,0,0,0,0,0
72hpf,5.35,2.14,7.49,0,0,0,0,0,0,4.28,0,5.35,5.35,1.07,21.4,0,1.07,0,0,36.37,136.93,0,0,10.7,3.21,0,4.28,1.07,0,0,0,0,0
21Day,8.03,0,4.02,1.34,0,0,0,0,0,2.68,0,0,6.69,0,20.08,0,0,4.02,0,6.69,38.82,0,0,4.02,1.34,0,4.02,1.34,5.35,1.34,0,0,1.34
3Month,0,0.32,4.16,0,0.32,0.64,0,1.92,0.32,0.64,1.92,0.32,0.96,1.6,1.28,0,0,0,0.96,0.64,0.64,0.32,0.64,0,0.32,6.08,0,0,0,0,2.24,1.28,0.64
22Month,0,0,1.64,0,0,0.55,0.55,5.47,0,0,0,0,0,2.19,1.09,0.55,0,0,0,0,0,0,0,0,0,0.55,0.55,0,0,0,0,0,2.19
