stage,Epithelial_cell,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Radial_glia
24hpf,4.09,0,0,0,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,2.14,0,0,0,0,1.07,1.07
21Day,0,1.34,0,0,1.34,1.34,5.35,0,1.34,0,0
3Month,0.32,0,0.64,0,0,0,0,0,0,0,0
22Month,0,0,0,2.73,0,0,0.55,0,0,0,0
