stage,Enterocyte,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
72hpf,0,1.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,1.34,2.68,0,1.34,0,0,1.34,0,1.34,0,0,0,1.34
3Month,0.64,7.04,0.64,0.32,2.56,2.24,1.28,15.04,0.64,0.32,0.64,0,0.64,0.64,0.64,0.32,0.32,3.2
22Month,0,0.55,0.55,0.55,4.37,1.09,0,0.55,0,0,0,0,0,0,0,0,0,0
