stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,4.09,85.81,0,0,0,0,0,0,0,0
72hpf,2.14,1.07,0,2.14,1.07,0,0,0,0,0,0,0,1.07,0,1.07,3.21,0,4.28,0,0,24.61,20.33,0,0,2.14,0,0,0,0,0
21Day,1.34,1.34,0,5.35,5.35,0,1.34,0,0,0,0,1.34,2.68,0,0,6.69,0,1.34,1.34,0,5.35,5.35,0,1.34,4.02,0,1.34,0,0,2.68
3Month,0,0.32,0.64,5.44,0,0.64,0,1.92,0.96,0,8.96,0,0.32,2.56,0.96,3.84,1.6,1.28,0,0.32,0,0.32,0,0.64,0.32,2.88,0,0.64,0.64,0.96
22Month,0,0,0,1.64,0,0,0,0.55,0,1.09,14.21,0,0.55,1.09,0,0.55,1.09,1.64,0,0,0,0,0.55,0,0,1.09,0.55,0,0,0
