stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,36.78,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,4.09,12.26,0,0,0,0,53.12,155.28,0,0,0,0,0,0,4.09,0,0,0
72hpf,4.28,3.21,16.05,0,0,0,0,0,0,0,0,0,0,0,0,3.21,38.51,0,27.81,0,1.07,1.07,0,16.05,18.19,0,0,4.28,0,0,5.35,1.07,0,0,0
21Day,2.68,1.34,37.48,0,2.68,0,5.35,0,0,0,0,1.34,1.34,5.35,0,0,20.08,1.34,22.76,0,0,5.35,0,8.03,8.03,0,0,4.02,6.69,1.34,8.03,0,0,0,1.34
3Month,0,0.96,34.87,0.32,0,0.64,1.28,1.28,1.92,0,0,9.92,2.24,0.96,3.2,2.88,40.31,2.24,19.2,1.92,0,1.6,0.32,2.56,0,0.32,0.32,0.96,1.6,19.84,1.92,0.96,0.64,235.16,2.24
22Month,0,0.55,10.39,0,0,0.55,0,0,1.09,0.55,0,4.37,0,3.28,0.55,1.09,5.47,2.73,14.21,0.55,0,0.55,0,0,0.55,0,0,0,0,9.29,9.29,0,0,0,0
