stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0
72hpf,0,0,5.35,1.07,0,0,0,0,0,0,0,0,118.75,0,1.07,3.21,2.14,0,0,0,0,0,0
21Day,0,0,17.4,1.34,0,0,0,0,0,1.34,0,0,12.05,0,1.34,2.68,0,0,4.02,1.34,0,0,0
3Month,0.32,0.32,27.84,0,0,0.96,0.64,2.24,1.28,0,1.6,0.64,57.91,0.96,0.64,0.64,0,0.64,0.64,14.72,0.32,7.36,0.32
22Month,0,0,2.19,0,0.55,0,0,13.12,0,0,1.09,0,7.65,0,0.55,0,0,0,0.55,3.28,0,0,0
