stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,8.17,4.09,0,0,0,0,0,0,0,0,0,0,0,0,0,20.43,0,0,0,4.09,339.17,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,1.07,0,0,0,0,0,0,0,0,0,1.07,3.21,0,5.35,0,0,0,16.05,57.77,0,0,6.42,0,0,7.49,0,1.07,0,0,0
21Day,1.34,1.34,8.03,0,5.35,0,1.34,0,0,0,0,0,4.02,0,0,0,1.34,12.05,0,0,0,8.03,17.4,0,0,1.34,0,0,1.34,1.34,0,0,0,0
3Month,0,0.32,2.56,0,0,0,0,0.96,0,0,5.44,0.96,0.64,2.24,0.32,1.6,1.28,0.96,0,0,0.32,0,0,0.32,0.64,0,0.32,0.32,0,0,0,0.32,0.64,0.96
22Month,0,0,2.19,0,0,0.55,0,0.55,4.37,1.09,32.25,0,0.55,1.64,0,1.64,1.09,4.37,1.09,0.55,0,0.55,0,0.55,0,0,0,0,0.55,0,0,0,0,0.55
