stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,4.09,0,0,0,0,0,0,0,0,0,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07,0,0,0,0,0,0,1.07,0,0,0,0,0,0,0,0,0
21Day,0,2.68,0,5.35,0,1.34,4.02,0,0,0,14.72,0,1.34,1.34,2.68,1.34,0,0,2.68,0,0,1.34,2.68,0,0,0,1.34,0,0,10.71
3Month,0.32,0,5.44,0,0.64,0,12.16,0,2.56,14.08,1.92,1.28,0.32,1.6,4.8,2.24,0.32,0,16,0.32,0,1.92,0.96,0.64,1.6,0.32,0.32,1.6,0.96,19.2
22Month,1.09,0.55,0.55,0,0,1.09,21.87,0.55,13.67,13.12,1.09,0.55,0,0,7.11,0.55,0,0.55,14.21,0,0,2.73,1.09,0,0,0.55,0,0,0,8.2
