stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,4.09,0,0,0,0,0,155.28,0,0,0,0,0,0,0,0,0,0
72hpf,1.07,1.07,0,5.35,11.77,1.07,0,0,0,0,0,0,0,0,0,4.28,1.07,0,12.84,0,0,0,0,26.74,18.19,0,0,4.28,0,0,6.42,0,0,0,0
21Day,5.35,0,0,8.03,13.39,2.68,0,5.35,0,0,0,0,0,2.68,10.71,6.69,1.34,1.34,10.71,0,0,1.34,1.34,13.39,9.37,1.34,1.34,8.03,2.68,1.34,6.69,1.34,1.34,0,0
3Month,0.32,0.32,1.28,39.67,1.92,0,0,0,0.32,0.96,2.56,14.4,2.24,0.32,3.2,31.99,2.56,0.96,3.84,0.32,0,0.96,4.48,3.84,1.6,1.6,0.32,0,1.28,24,0,0,0.32,333.39,1.92
22Month,0,1.64,0.55,24.05,0,0,0.55,0,0,0,0.55,10.93,0,0,3.28,4.37,0.55,1.64,4.92,0.55,1.09,0,0.55,1.64,0.55,2.19,0.55,1.09,0,20.77,0,0,0.55,2.19,0
