stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,14.98,2.14,0,10.7,7.49,8.56,0,0,0,1.07,1.07,0,0,0,0,2.14,3.21,14.98,3.21,42.79,0,0,1.07,10.7,2156.7,64.19,5.35,16.05,0,42.79,0,0,11.77,9.63,1.07,3.21,0,0
21Day,13.39,2.68,2.68,42.83,6.69,22.76,0,5.35,0,0,0,0,0,1.34,8.03,6.69,0,16.06,1.34,68.27,0,0,4.02,1.34,993.19,45.51,10.71,10.71,0,17.4,24.09,0,25.43,52.2,14.72,4.02,0,1.34
3Month,0,0.64,0,16.96,0,0,0,0.64,0.32,1.92,5.76,0,15.68,2.56,0,2.88,0.64,3.84,0.32,50.87,14.08,0,1.6,0.32,4.8,0.32,13.44,3.84,0,0,0,1.92,0.32,0,0,0,1.28,1.6
22Month,0.55,6.56,0.55,9.29,0,0,0.55,0.55,0,0,6.01,1.64,61.77,1.09,0.55,2.73,0,3.28,7.11,42.09,6.01,2.19,1.64,0,17.49,2.73,20.77,2.73,1.09,0.55,0,3.28,1.09,50.29,0,0,0,0.55
