stage,Cardiomyocyte,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Radial_glia,Retinal_cone_cell,T_cell
24hpf,0,0,0,0,4.09,4.09,4.09,24.52,0,0,0,0
72hpf,2.14,1.07,0,0,1.07,1.07,11.77,4.28,5.35,1.07,0,0
21Day,1.34,5.35,0,1.34,1.34,2.68,4.02,1.34,0,0,1.34,1.34
3Month,0,0.96,0.32,0,0.32,0,0.32,0,0,0,0,0
