stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,12.26,12.26,32.69,0,0,0,0,0,8.17,8.17,4.09,49.04,0,0,32.69,396.38,0,20.43,0,0,0,0,4.09,0,0,0
72hpf,0,2.14,4.28,2.14,0,0,0,0,2.14,3.21,0,6.42,4.28,1.07,19.26,31.02,0,7.49,1.07,0,5.35,0,0,0,0,0
21Day,1.34,0,0,0,0,0,1.34,0,0,0,0,8.03,0,0,2.68,2.68,0,0,0,0,1.34,2.68,0,0,0,0
3Month,0,0,3.52,0,0,0.32,1.6,1.6,0,0.96,0.32,0.96,0,0,0,0,0.32,0,0,7.36,0,0,0,0.32,0.64,0.32
22Month,0,0,0,0,0.55,0.55,2.19,0.55,0,0,0,0,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0
