stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Hepatocyte,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4.09,0,0,0,0,0,0,0,4.09,0,4.09,12.26,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,1.07,0,0,0,0,0,1.07,1.07,0,46,4.28,0,0,1.07,0,1.07,0,1.07,0,0,0
21Day,2.68,0,0,1.34,0,0,1.34,1.34,0,2.68,1.34,50.86,6.69,1.34,1.34,0,0,0,1.34,0,0,0,1.34
3Month,0,1.28,0.32,0,0.32,0,0,0,0,0.32,0,0,0,0,0,0,3.2,0,0,0,0.64,2.56,0
22Month,0,0,0,0,0,0.55,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0
