stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,4.09,8.17,0,0,0,0,8.17,61.3,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,7.49,1.07,1.07,0,0,0,0,0,0,1.07,0,2.14,7.49,1.07,2.14,0,1.07,0,0,5.35,4.28,0,0,1.07,0,0,1.07,1.07,0,0,0
21Day,2.68,4.02,0,52.2,0,1.34,5.35,0,0,0,0,1.34,5.35,2.68,2.68,6.69,6.69,6.69,0,0,0,1.34,12.05,10.71,0,0,1.34,2.68,0,1.34,1.34,0,0,1.34
3Month,0,0,0,23.04,0,0,0,2.24,2.24,0,13.44,1.6,0.32,7.04,1.6,3.2,2.88,1.28,0.96,0,1.28,0.32,0.32,0.32,0.32,0,0,0,7.04,0,0,0.64,0.64,1.6
22Month,0,1.09,0.55,16.4,0,0,0,0,2.73,17.49,66.15,0,0.55,16.4,0.55,2.19,3.83,1.09,0,3.28,2.19,0.55,1.09,0.55,1.09,1.09,0,0,1.64,0.55,0,0,0,1.09
