stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
72hpf,3.21,0,0,0,0,0,0,0,0,1.07,0,0,0,1.07,2.14,0,11.77,0,0,0,1.07,68.47,5.35,1.07,1.07,10.7,0,1.07,2.14,0,0,0,0
21Day,5.35,0,4.02,4.02,0,2.68,0,0,0,0,0,0,0,1.34,0,4.02,21.42,0,0,0,1.34,30.79,13.39,0,0,8.03,1.34,1.34,2.68,0,0,0,0
3Month,0,0.64,6.72,0,0.32,0.32,0.32,0.32,0,20.48,0.32,0.32,1.6,0.64,0.96,1.92,2.88,1.28,0,0,0.64,0.32,0,0,0,0,0.64,7.04,0.64,0.32,0.32,3.2,0.64
22Month,0.55,0.55,1.09,0,0,0,0.55,0,1.64,30.61,0.55,2.73,2.19,0,0.55,3.83,2.19,0,0.55,1.09,0,0.55,0,1.09,0.55,0,0,1.09,0,0,1.09,0,1.09
