stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte__Liver_,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4.09,0,0,16.35,0,0,0,0,0,0,0
72hpf,1.07,0,0,0,0,0,0,0,0,0,1.07,0,41.72,9.63,1.07,4.28,0,0,0,0,0
21Day,0,2.68,1.34,0,0,0,0,1.34,0,1.34,2.68,2.68,24.09,6.69,1.34,4.02,2.68,0,2.68,0,0
3Month,0,0,0,0.32,0.32,0,0.96,0,0.32,0,0.32,0.64,0.32,0,0.96,0,0.32,2.24,0,2.24,0.64
22Month,0,0,0,0,0,0.55,2.73,0,0,0,0.55,0,0,0,0,0,0,2.19,0,0,0
