stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,0,0,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,1.07,0,0,0,0,0,0,1.07,1.07,0,1.07,1.07,1.07,0,1.07,0,0,0
21Day,1.34,6.69,1.34,1.34,0,1.34,2.68,1.34,4.02,4.02,0,0,2.68,0,4.02,0,0,4.02,0
3Month,0,0.32,0,0.32,0,0,1.6,0,0,0,0.32,0,0,0,0.32,0,0.32,0,0.32
22Month,0,0,0,1.64,1.09,0,0,0,0.55,0,0,0,0,0,0,0,0,0,0
