stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,32.69,8.17,57.21,0,0,0,0,0,12.26,0,0,0,4.09,0,4.09,559.84,0,4.09,0,0,24.52,1324,0,0,57.21,0,0,0,0,16.35,0,0
72hpf,7.49,2.14,20.33,1.07,4.28,0,3.21,0,0,0,0,0,0,25.67,2.14,116.61,0,0,11.77,0,129.44,59.91,1.07,1.07,286.7,0,0,7.49,0,24.61,0,0
21Day,12.05,0,16.06,6.69,4.02,0,2.68,0,0,0,0,4.02,0,10.71,0,178.02,0,0,13.39,1.34,40.16,21.42,2.68,1.34,124.48,10.71,0,2.68,1.34,2.68,0,0
3Month,0,0.32,8.96,0.64,0,0,2.88,0,0,3.84,1.6,2.56,0,2.56,1.92,62.39,5.76,0,2.56,0,0.64,0,0.64,0,0.32,0.32,3.52,0,0,0,0,1.28
22Month,0,0,4.92,0,0,0.55,1.09,22.41,0,19.68,2.19,3.28,0,1.09,1.64,73.25,1.64,0,2.19,0,0,0,1.09,0,0,0,2.19,0.55,0,0.55,0.55,0
