stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,20.43,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0
72hpf,0,8.56,1.07,0,5.35,0,1.07,0,0,1.07,1.07,17.12,0,2.14,0,0,0
21Day,1.34,0,0,0,0,1.34,6.69,0,0,1.34,1.34,72.28,1.34,0,0,0,1.34
3Month,0,0.64,0,1.28,0,0,3.52,1.6,0.32,0,0,0.32,0,0,0.32,0.32,0
22Month,0,0,0,0.55,0,0,0.55,0,0,0,0,0,0,0,0,0,0
