stage,Cardiomyocyte,Epithelial_cell,Immune_progenitor_cell,Macrophage,Mesenchymal_cell,Neural_cell,Osteoblast
24hpf,0,0,0,4.09,0,0,0
72hpf,0,0,0,0,1.07,3.21,1.07
21Day,1.34,1.34,1.34,0,0,0,0
