stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,8.17,0,0,0,24.52,0,0,0,0,0,0
72hpf,0,0,3.21,85.58,1.07,0,0,0,0,0,0,0,11.77,0,0,0,0,8.56,3.21,0,0,0,0,0,0
21Day,1.34,1.34,2.68,52.2,0,0,0,0,0,5.35,0,0,14.72,0,5.35,1.34,1.34,6.69,2.68,0,1.34,2.68,0,0,8.03
3Month,0,0,5.44,17.28,0,0.96,3.84,4.16,4.8,2.88,0.96,0.64,1.6,3.2,1.28,0,0.32,0.64,0,0.64,1.28,41.91,0.96,6.4,43.19
22Month,0.55,0,4.92,9.84,0,0,4.37,14.76,0.55,1.64,0.55,0,0,1.64,1.09,0.55,0,1.09,0,0,0.55,28.43,0,0,6.56
