stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,T_cell
24hpf,0,0,8.17,0,0,0,0,0,0,0,0,8.17,0,8.17,12.26,0,0,0,0,8.17,474.02,0,0,0,0,0,0,0,0,0,0,0
72hpf,10.7,0,5.35,1.07,5.35,0,0,0,0,0,0,0,6.42,2.14,71.68,0,1.07,2.14,0,28.88,121.96,0,0,232.14,0,0,28.88,0,0,1.07,0,0
21Day,8.03,1.34,29.45,0,2.68,0,2.68,1.34,1.34,5.35,0,1.34,12.05,4.02,72.28,0,0,0,1.34,16.06,46.85,0,1.34,203.46,2.68,0,17.4,1.34,2.68,1.34,0,1.34
3Month,0,1.6,33.91,0.32,0,0.32,1.28,0,3.2,0.32,0.32,0,9.28,0.32,10.56,0.96,0,0.32,2.88,0,0.64,0,0,3.52,0.32,3.84,0.32,0,0,0,1.6,0.64
22Month,0,1.64,10.93,0,0,0,1.09,2.73,4.92,0.55,0.55,0,0,1.09,12.03,0.55,0,0,0,0,1.64,1.09,0,1.64,0,2.73,0,0.55,0,0,0.55,0
