stage,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09,0,0,0,0,0
72hpf,0,0,1.07,0,0,0,0,0,0,0,1.07,2.14,0,0,0,1.07,0,0,0,0,0,0
21Day,0,8.03,0,0,0,0,0,0,1.34,0,0,89.68,0,0,0,0,0,1.34,0,0,0,0
3Month,0,21.76,0,0.32,0.32,0.96,1.92,0,0,0.64,1.6,0.32,0,1.92,0.32,0,0,3.84,0.32,4.8,0.32,0.32
22Month,0.55,15.85,0,0,0,0,0.55,1.64,0,1.09,0,0,0.55,0,0.55,0.55,0,0,0,0.55,0,0
