stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,4.09,0,0,0,20.43,0,4.09,0,0,0
72hpf,1.07,0,0,0,0,1.07,0,6.42,0,0,2.14,0,0,6.42,0,0,0
21Day,2.68,5.35,0,0,0,0,0,13.39,0,0,1.34,0,0,4.02,0,0,0
3Month,2.88,4.16,0.64,0.32,0.64,0.32,0.64,3.52,0.32,0.64,0.32,0,0.32,0,0.32,0.96,0.32
22Month,5.47,3.83,3.83,0,0,0,0,2.19,0.55,0.55,0,0,0,0,0,0,0
