stage,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Radial_glia
24hpf,0,0,0,0,0,0,0,0,0,0,0,8.17,0,0,0
72hpf,0,1.07,1.07,1.07,0,0,0,1.07,1.07,1.07,93.07,43.86,1.07,3.21,28.88
21Day,1.34,4.02,0,2.68,0,1.34,1.34,0,1.34,1.34,53.54,18.74,0,0,5.35
22Month,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0,0
