stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,4.09,4.09,0,12.26,0,0,4.09,0,0,0,0,0,0,8.17,20.43,40.86,0,0,114.42,4.09,0,0,0,0,4.09,0,0
72hpf,1.07,1.07,0,1.07,0,2.14,0,0,0,0,0,0,0,1.07,0,10.7,1.07,3.21,2.14,2.14,0,0,0,0,1.07,0,0
21Day,1.34,0,1.34,36.14,0,8.03,0,0,2.68,0,1.34,1.34,6.69,124.48,1.34,1.34,5.35,2.68,2.68,2.68,2.68,1.34,2.68,2.68,0,0,0
3Month,0,0.64,0,3.2,0.32,0,0,0.64,6.4,0.96,0.32,2.24,0,0.96,0,1.6,0.32,0,0,0.32,0.64,53.43,0,0,0,0.96,1.6
22Month,0,0,1.09,0,0,0,0,0,2.73,0,0,1.09,0,0.55,1.09,0.55,0.55,1.09,0,0,0.55,15.31,0,0,0.55,0,0
