stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,4.09,0
72hpf,0,0,0,0,0,0,0,0,0,1.07,28.88,1.07,0
21Day,0,0,0,0,0,0,0,1.34,0,0,36.14,0,0
3Month,0.64,0.32,0.32,0,0.96,0.32,0.32,0.64,0,0,0.64,0,0.32
22Month,1.64,0,2.19,0.55,15.85,0,0.55,2.19,1.09,0,1.64,0,0
