stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,4.09,0,0,16.35,0,0,0,0,0,0,0,0,0,0,0,8.17,0,28.6,0,0,0,16.35,809.11,0,0,0,0,0,0,16.35,0,0,0
72hpf,23.54,4.28,0,11.77,42.79,11.77,0,0,0,2.14,0,0,0,0,5.35,25.67,10.7,191.49,0,0,0,1750.18,1125.42,56.7,0,0,17.12,11.77,10.7,38.51,0,0,0
21Day,5.35,0,1.34,13.39,5.35,18.74,0,1.34,0,1.34,0,0,4.02,2.68,1.34,16.06,1.34,147.24,0,5.35,0,460.46,242.27,18.74,5.35,0,9.37,5.35,4.02,17.4,0,0,0
3Month,0,0.32,0.64,16.64,1.28,0,0.32,0,0.96,2.88,4.48,1.28,0,2.24,0.32,4.48,0.32,30.08,74.23,0.96,0.64,10.56,6.08,0,0.32,1.92,6.72,0.32,0,4.16,0.32,1.6,0.64
22Month,0,0,0,2.19,0,0,0,0.55,0,1.09,10.39,1.09,0,1.64,0,0,0,28.97,15.31,1.64,0,15.85,0.55,0,0,13.12,41,0,0,1.09,0.55,0,1.09
