stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,16.35,0,0,4.09,0,0,4.09,0,0,0,0,0,32.69,245.18,4.09,0,0,0,0,0,8.17,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,5.35,1.07,0,0,0,4.28,0,0,0,0,0,0,77.02,9.63,0,0,0,0,0,2.14,3.21,0,0,2.14,0,0,0,0,0,0,0
21Day,0,0,29.45,0,0,0,0,4.02,0,1.34,0,0,1.34,0,26.77,17.4,0,0,0,0,0,1.34,1.34,0,0,0,2.68,0,0,0,0,0,0
3Month,0.64,0.32,72.95,0,0,0,0.64,97.9,0,6.08,3.2,0,1.28,0.96,79.03,9.28,1.6,0.32,0,0.64,0.64,0.32,0.64,0.64,0.32,0,0.96,3.52,0.32,0.32,1.6,12.16,1.28
22Month,1.09,0,42.64,0,0.55,0,0.55,12.57,0,12.03,0.55,0.55,1.09,0.55,35.53,16.4,1.09,0,0.55,0.55,0,0,0,0,1.09,0,0.55,0,1.09,0,0,0,0
