stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,40.86,0,0,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,8.56,0,0,0,0,0,0,0,0
21Day,0,1.34,0,0,0,0,0,0,0,16.06,0,0,1.34,1.34,0,0,0,0
3Month,0.32,1.6,0.64,12.16,1.28,1.28,0.32,0.64,0.96,75.19,2.24,0.32,0,0.32,1.28,1.28,0.32,0.64
22Month,0,0.55,0,45.37,4.92,2.73,0,0.55,0,136.66,2.19,0,0,0,0,2.73,0,0
