stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Retinal_pigment_epithelial_cell,T_cell
72hpf,0,3.21,1.07,0,2.14,0,0,2.14,0,1.07,4.28,4.28,1.07,2.14,4.28,5.35,2.14,0,0,0
21Day,0,4.02,0,0,2.68,0,0,0,0,1.34,2.68,4.02,1.34,0,0,1.34,0,0,0,0
3Month,0,1.28,0,0,0.32,0.64,0.64,0,0,0,0,1.92,0,0,0,0,0,0.96,0.32,0.32
22Month,0.55,3.28,0,1.09,12.57,11.48,4.92,0.55,1.64,0.55,0,20.23,1.09,0,0,0,0,1.64,0,3.83
